sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_126_fecRa_S10,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_127_fecRa_S26,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_128_fecRa_S28,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_129_fecRa_S30,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_130_fecRa_S32,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_131_fecRa_S34,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_132_fecRa_S36,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_133_fecRa_S38,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_134_fecRa_S54,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_135_fecRa_S56,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_136_fecRa_S58,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_137_fecRa_S60,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_138_fecRa_S62,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_139_fecRa_S64,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_140_fecRa_S66,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_141_fecRa_S82,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_142_fecRa_S84,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_143_fecRa_S86,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_145_fecRa_S90,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_146_fecRa_S92,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_147_fecRa_S94,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_148_fecRa_S15,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_149_fecRa_S19,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_151_fecRa_S23,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_152_fecRa_S25,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_153_fecRa_S27,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_155_fecRa_S47,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_156_fecRa_S49,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_157_fecRa_S51,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_158_fecRa_S53,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_159_fecRa_S55,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_160_fecRa_S71,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_161_fecRa_S73,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_162_fecRa_S77,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_163_fecRa_S79,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_164_fecRa_S81,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_165_fecRa_S83,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_166_fecRa_S99,feces,RNA,7/27/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_167_fecRa_S101,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_168_fecRa_S103,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_169_fecRa_S105,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_171_fecRa_S109,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_172_fecRa_S111,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_173_fecRa_S127,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_174_fecRa_S129,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_175_fecRa_S131,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_176_fecRa_S133,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_178_fecRa_S137,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_179_fecRa_S139,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_180_fecRa_S155,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_181_fecRa_S157,feces,RNA,1/6/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_183_fecRa_S161,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_184_fecRa_S163,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_185_fecRa_S165,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_186_fecRa_S167,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_187_fecRa_S183,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_188_fecRa_S185,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_189_fecRa_S187,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_190_fecRa_S189,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_191_fecRa_S191,feces,RNA,1/7/19,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_194_fecRa_S11,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_195_fecRa_S13,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_196_fecRa_S15,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_197_fecRa_S17,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_198_fecRa_S19,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
